last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
McGee, Jake,L,87.3,,,,,18.5,
Cole, A.J.,R,87.2,,,,,23,26.8
Koch, Matt,R,87.2,,32.9,82.7,,,45.3
Strahm, Matt,L,87.1,,,85.3,,32,36.5
Rogers, Josh,L,87.1,,,80.7,,26.6,
Quantrill, Cal,R,87.1,93.9,,75.4,,17.3,33.3
Stephenson, Robert,R,87,,,,,25.7,
Elías, Roenis,L,87,95,,90.9,,,88.4
Thorpe, Lewis,L,86.7,,,76.8,,33.3,91.9
Pomeranz, Drew,L,86.7,88.7,54,83.2,,,75
Pérez, Martín,L,86.7,95.8,30.4,89.9,,,42.2
Swarzak, Anthony,R,86.6,94.4,,,,23.8,
Sipp, Tony,L,86.6,,,,,17.8,
Fernández, Junior,R,86.6,86.6,,74.2,,26,
Wang, Wei-Chung,L,86.5,,,81.3,,29.1,
Weber, Ryan,R,86.5,92.5,,77.5,,87.5,93.1
Yamamoto, Jordan,R,86.4,,28.5,83.6,,70.8,87.2
Carle, Shane,R,86.4,,,78.6,,24.4,48.8
LeBlanc, Wade,L,86.3,90.5,46.4,80.8,,,68.5
Tomlin, Josh,R,86.3,87.3,41.3,83.1,,,51.5
Cortes, Nestor,L,86.3,86.9,,83.5,,29.1,
Eovaldi, Nathan,R,86.3,,41.3,,,39.3,59.2
Chavez, Jesse,R,86.2,95.1,50.1,91,,35.7,
Albers, Matt,R,86.2,94,,83.3,,27.5,
López, Reynaldo,R,86.2,,,81.9,,21.8,31.4
Peralta, Wandy,L,86.2,91.9,,87.8,,16.5,
Sale, Chris,L,86.1,94.2,,94.4,,65.4,
Ginkel, Kevin,R,86.1,,,,,20.5,
Smeltzer, Devin,L,86.1,,,77.8,,27.4,71.5
Plutko, Adam,R,86.1,,37.5,75.7,,,55.9
Tanaka, Masahiro,R,86.1,83.9,35.8,,,30.7,61
Hernandez, Elieser,R,86,85.8,,83.4,,69.3,
Alzolay, Adbert,R,86,,,78.9,,53.7,
Morton, Charlie,R,86,95.2,22.8,,,,88.5
Lucas, Josh,R,85.9,90.6,,,,15.3,
Sandoval, Patrick,L,85.9,,,77.6,,31.9,46.7
Font, Wilmer,R,85.8,93.1,,,,32.6,76.9
Sborz, Josh,R,85.7,,,,,24.9,
Del Pozo, Miguel,L,85.7,,,,,,44.8
Drake, Oliver,R,85.7,,,,,,
Kennedy, Ian,R,85.7,,40.4,,,,84.8
Peterson, Tim,R,85.7,,,83.9,,,
Parsons, Wes,R,85.7,89,,85,,23,
Magill, Matt,R,85.6,,,,,24.5,40.3
López, Jorge,R,85.6,96,,86.8,,24.6,65.4
Shoemaker, Matt,R,85.6,93.3,,,,14,
Luzardo, Jesús,L,85.6,90.3,,88.2,,,37
Weaver, Luke,R,85.6,,36.6,72.5,,,48.3
Wilson, Justin,L,85.6,,44.1,,,36.9,
Tepera, Ryan,R,85.6,95.6,30.7,69.2,,,
Kintzler, Brandon,R,85.5,91,,90.5,,13.2,
Sobotka, Chad,R,85.5,,,,,54.6,
Baez, Michel,R,85.5,,,79.9,,17.4,
McHugh, Collin,R,85.5,,30.2,86.8,,71.8,81.1
Devenski, Chris,R,85.4,,,82.7,,45.7,
Clevinger, Mike,R,85.4,,,90.1,,77.2,79.4
Stumpf, Daniel,L,85.3,,,92.5,,21.9,
Wood, Hunter,R,85.3,,,86.2,,34.9,80.3
Diekman, Jake,L,85.3,92.2,,,,33.1,
Faria, Jake,R,85.2,,,,,22.8,
Strasburg, Stephen,R,85.2,94.6,,89.3,,,68.4
Happ, J.A.,L,85.2,77.9,,85.7,,27.9,29.1
Wittgren, Nick,R,85.2,,,71.5,,27.9,
Green, Chad,R,85.2,,,,,23.5,
Vargas, Jason,L,85.1,86.5,,87.1,,,70.1
Agrazal, Dario,R,85.1,90,,87.8,,12,
González, Gio,L,85.1,88,,76.5,,,91.9
Castillo, Luis,R,85,96.5,,84.6,,10.4,
De Los Santos, Enyel,R,85,,,94.5,,8.2,
Phillips, Evan,R,85,89.4,,68.9,,48,
Bass, Anthony,R,85,93.1,,,,26.4,
Puk, A.J.,L,84.9,,,,,23.8,
Rodriguez, Jefry,R,84.9,91.3,,89.2,,,36
Rainey, Tanner,R,84.9,,,,,29.3,
Clarke, Taylor,R,84.9,86.2,,90.4,,26,63.7
Lyles, Jordan,R,84.8,92.9,,85.9,,30.6,77.9
Bergen, Travis,L,84.8,,,,,,69.7
Ynoa, Gabriel,R,84.8,93.6,,91.5,,15.7,34
Floro, Dylan,R,84.8,91.4,,86.1,,26.2,
Howard, Sam,L,84.8,,,,,19.8,
Sims, Lucas,R,84.8,,,78,,52.7,57.2
Colomé, Alex,R,84.7,,34.8,53.2,,,
Chafin, Andrew,L,84.7,93,,,,10.6,
Bautista, Gerson,R,84.7,,,,,25.5,
Cashner, Andrew,R,84.7,91.2,,81.3,,22.5,72.7
Lyons, Tyler,L,84.6,87.8,,83.8,,72,
Gray, Jon,R,84.6,83.3,,77.2,,24.9,64.1
Morin, Mike,R,84.6,92,,67.5,,28.6,
Pagán, Emilio,R,84.6,,21,,,,70
Peña, Félix,R,84.6,94.2,,88.4,,13.8,
Álvarez, José,L,84.6,93.3,39.6,80.2,,29.4,32.8
Barría, Jaime,R,84.6,89.4,,82.1,,30.5,
Flexen, Chris,R,84.5,,31.6,81,,,
Kimbrel, Craig,R,84.5,,,,,,59.7
Kela, Keone,R,84.4,,,,,,39.3
