"","pitch_type","year","name","percentile"
"339","SI","2018","Anderson, Tyler",66.1971830985916
"340","SI","2021","Anderson, Tyler",31.0077519379845
"341","SI","2022","Anderson, Tyler",26.8041237113402
"342","CH","2016","Andriese, Matt",66.9683257918552
"343","CH","2017","Andriese, Matt",86.1471861471861
"344","CH","2018","Andriese, Matt",12.7853881278539
"345","CH","2019","Andriese, Matt",61.9047619047619
"346","CH","2021","Andriese, Matt",12.9032258064516
"347","CU","2015","Andriese, Matt",46.6666666666667
"348","CU","2016","Andriese, Matt",33.7662337662338
"349","CU","2017","Andriese, Matt",12.7118644067797
"350","CU","2018","Andriese, Matt",63.9830508474576
"351","CU","2019","Andriese, Matt",11.7391304347826
"352","CU","2021","Andriese, Matt",16.4444444444444
"353","FC","2015","Andriese, Matt",50.5263157894737
"354","FC","2016","Andriese, Matt",72.5274725274725
"355","FF","2015","Andriese, Matt",21.9917012448133
"356","FF","2016","Andriese, Matt",55.3497942386831
"357","FF","2017","Andriese, Matt",22.6141078838174
"358","FF","2018","Andriese, Matt",39.4683026584867
"359","FF","2019","Andriese, Matt",88.4990253411306
"360","FF","2021","Andriese, Matt",24.7081712062257
"361","SI","2015","Andriese, Matt",48.4745762711864
"362","SL","2015","Andriese, Matt",55.7755775577558
"363","SL","2016","Andriese, Matt",71.6216216216216
"364","SL","2017","Andriese, Matt",40.1869158878505
"365","CU","2021","Antone, Tejay",93.7777777777778
"366","SI","2021","Antone, Tejay",49.2248062015504
"367","SL","2021","Antone, Tejay",54.4080604534005
"368","SI","2022","Appel, Mark",67.3539518900344
"369","FF","2017","Aquino, Jayson",32.1576763485477
"370","CH","2018","Araújo, Pedro",64.8401826484018
"371","FF","2018","Araújo, Pedro",16.359918200409
"372","FF","2018","Arano, Víctor",86.9120654396728
"373","SI","2018","Arano, Víctor",61.9718309859155
"374","SI","2022","Arano, Víctor",8.93470790378007
"375","SL","2018","Arano, Víctor",26.219512195122
"376","SL","2022","Arano, Víctor",30.8823529411765
"377","FF","2015","Araujo, Elvis",47.3029045643153
"378","FF","2016","Araujo, Elvis",67.6954732510288
"379","SL","2015","Araujo, Elvis",57.0957095709571
"380","SL","2016","Araujo, Elvis",3.04054054054054
"381","CH","2015","Archer, Chris",60.9649122807018
"382","CH","2016","Archer, Chris",15.3846153846154
"383","CH","2017","Archer, Chris",23.3766233766234
"384","CH","2018","Archer, Chris",58.9041095890411
"385","CH","2019","Archer, Chris",30.3030303030303
"386","CH","2022","Archer, Chris",39.7489539748954
"387","FF","2015","Archer, Chris",62.0331950207469
"388","FF","2016","Archer, Chris",5.55555555555556
"389","FF","2017","Archer, Chris",20.954356846473
"390","FF","2018","Archer, Chris",14.519427402863
"391","FF","2019","Archer, Chris",86.7446393762183
"392","FF","2021","Archer, Chris",42.2178988326848
"393","FF","2022","Archer, Chris",3.39702760084926
"394","SI","2018","Archer, Chris",47.1830985915493
"395","SI","2019","Archer, Chris",8.80281690140845
"396","SL","2015","Archer, Chris",97.6897689768977
"397","SL","2016","Archer, Chris",99.6621621621622
"398","SL","2017","Archer, Chris",99.0654205607477
"399","SL","2018","Archer, Chris",58.8414634146341
"400","SL","2019","Archer, Chris",14.7308781869688
"401","SL","2021","Archer, Chris",38.0352644836272
"402","SL","2022","Archer, Chris",94.8529411764706
"403","FF","2021","Arihara, Kohei",18.2879377431907
"404","SI","2021","Arihara, Kohei",43.4108527131783
"405","SL","2021","Arihara, Kohei",35.0125944584383
"406","FF","2019","Armenteros, Rogelio",56.3352826510721
"407","FC","2019","Armstrong, Shawn",11.9047619047619
"408","FC","2021","Armstrong, Shawn",13.0769230769231
"409","FC","2022","Armstrong, Shawn",38.6861313868613
"410","FF","2017","Armstrong, Shawn",83.6099585062241
"411","FF","2019","Armstrong, Shawn",70.3703703703704
"412","FF","2021","Armstrong, Shawn",52.9182879377432
"413","FF","2022","Armstrong, Shawn",50.5307855626327
"414","SI","2022","Armstrong, Shawn",41.9243986254296
"415","SL","2019","Armstrong, Shawn",15.2974504249292
"416","CH","2015","Arrieta, Jake",75.4385964912281
"417","CH","2016","Arrieta, Jake",63.3484162895928
"418","CH","2017","Arrieta, Jake",80.9523809523809
"419","CH","2018","Arrieta, Jake",24.2009132420091
"420","CH","2019","Arrieta, Jake",34.1991341991342
"421","CH","2021","Arrieta, Jake",9.2741935483871
"422","CU","2015","Arrieta, Jake",93.8095238095238
"423","CU","2016","Arrieta, Jake",61.4718614718615
"424","CU","2017","Arrieta, Jake",75.4237288135593
"425","CU","2018","Arrieta, Jake",1.69491525423729
"426","CU","2019","Arrieta, Jake",41.7391304347826
"427","CU","2021","Arrieta, Jake",66.2222222222222
"428","FF","2015","Arrieta, Jake",68.2572614107884
"429","FF","2016","Arrieta, Jake",93.6213991769547
"430","SI","2015","Arrieta, Jake",99.3220338983051
"431","SI","2016","Arrieta, Jake",99.3006993006993
"432","SI","2017","Arrieta, Jake",91.2772585669782
"433","SI","2018","Arrieta, Jake",43.6619718309859
"434","SI","2019","Arrieta, Jake",77.112676056338
"435","SI","2021","Arrieta, Jake",0
"436","SL","2015","Arrieta, Jake",99.3399339933993
"437","SL","2016","Arrieta, Jake",38.8513513513513
"438","SL","2017","Arrieta, Jake",0
"439","SL","2018","Arrieta, Jake",76.8292682926829
"440","SL","2019","Arrieta, Jake",12.7478753541076
"441","SL","2021","Arrieta, Jake",4.78589420654912
"442","CH","2017","Arroyo, Bronson",21.2121212121212
"443","CU","2017","Arroyo, Bronson",51.6949152542373
"444","FF","2017","Arroyo, Bronson",6.63900414937759
"445","SI","2017","Arroyo, Bronson",5.60747663551402
"446","SL","2017","Arroyo, Bronson",55.4517133956386
"447","CH","2021","Ashby, Aaron",69.758064516129
"448","CH","2022","Ashby, Aaron",5.85774058577406
"449","CU","2022","Ashby, Aaron",71.4285714285714
"450","SI","2021","Ashby, Aaron",14.7286821705426
"451","SI","2022","Ashby, Aaron",30.5841924398625
"452","SL","2021","Ashby, Aaron",75.8186397984887
"453","SL","2022","Ashby, Aaron",57.3529411764706
"454","FC","2022","Ashcraft, Graham",57.6642335766423
"455","SI","2022","Ashcraft, Graham",10.9965635738832
"456","SL","2022","Ashcraft, Graham",36.0294117647059
"457","CU","2017","Asher, Alec",65.6779661016949
"458","FC","2017","Asher, Alec",14.1592920353982
"459","FF","2015","Asher, Alec",26.9709543568465
"460","FF","2017","Asher, Alec",30.7053941908714
"461","SI","2016","Asher, Alec",74.8251748251748
"462","SI","2017","Asher, Alec",61.993769470405
"463","SL","2015","Asher, Alec",10.5610561056106
"464","FC","2022","Assad, Javier",71.5328467153285
"465","FF","2022","Assad, Javier",47.3460721868365
"466","SI","2022","Assad, Javier",75.2577319587629
