year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Cueto, Johnny,456501,R,SL,387,84.2,2265,6,0.2698217978502372,0.3121111522072464,170.02352666440584,208.85814858421352,Slider,31,735,660,-38.83462191980769,38.83462191980772,75,12,15,11,0,1,15,12:15,11:00,+1H 15M
,Peralta, Wandy,593974,L,SL,105,88,2300,4.2,0.18934126371926885,0.2864690142709378,201.9275926884675,167.123502021725,Slider,29,675,750,34.804090666742525,34.80409066674252,-75,11,15,12,30,1,15,11:15,12:30,-1H 15M
,Márquez, Germán,608566,R,SL,743,86.2,2421,3,0.14626717472895492,0.1438512899934891,224.62892135698365,258.7895111893775,Slider,14,630,555,-34.16058983239384,34.1605898323938,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
,Borucki, Ryan,621366,L,SL,117,86.2,2517,4,0.17314040228875294,0.1853427716122862,131.6295564239559,84.31681894170683,Slider,19,90,195,47.31273748224908,47.31273748224906,-105,1,30,3,15,1,45,1:30,3:15,-1H 45M
,Buehler, Walker,621111,R,SL,423,84.8,2794,15.2,0.6464500270859501,0.5167561680787468,287.96913969671965,273.28347649588625,Slider,52,510,540,14.685663200833403,14.685663200833433,-30,8,30,9,0,0,30,8:30,9:00,-0H 30M
,Santiago, Héctor,502327,L,SL,36,82.3,2085,4.8,0.22241803829012857,0.40173867477979575,163.4109951886054,128.7401613315619,Slider,40,750,105,34.670833857043505,34.6708338570435,-75,12,30,1,45,1,15,12:30,1:45,-1H 15M
,Thompson, Mason,666168,R,SL,57,83.7,2235,6.6,0.31098166419325296,0.3138295627270218,271.0645620070616,309.68416927288433,Slider,31,540,465,-38.61960726582271,38.61960726582271,75,9,0,7,45,1,15,9:00,7:45,+1H 15M
,Hearn, Taylor,621368,L,SL,338,84.4,2206,7.8,0.3554758754672526,0.3633380805812752,115.77947499344754,116.6840319512751,Slider,36,135,120,-0.9045569578275661,0.9045569578275742,15,2,15,2,0,0,15,2:15,2:00,+0H 15M
,Altavilla, Dan,656186,R,SL,11,90,2540,6.8,0.29262949759831386,0.32332168757512914,186.02304435416735,195.7349921687853,Slider,32,705,690,-9.711947814617957,9.711947814617986,15,11,45,11,30,0,15,11:45,11:30,+0H 15M
,Sheffield, Justus,656954,L,SL,467,81.7,2570,9.4,0.3898211822063192,0.4469250372749206,64.44407409871003,59.32477740920457,Slider,45,225,240,5.119296689505461,5.119296689505451,-15,3,45,4,0,0,15,3:45,4:00,-0H 15M
,Fulmer, Michael,605242,R,SL,473,91.2,2408,8,0.36617168440475517,0.4776085511987689,201.89334535467611,232.05682853151424,Slider,48,675,615,-30.163483176838128,30.163483176838117,60,11,15,10,15,1,0,11:15,10:15,+1H 00M
,Burr, Ryan,621114,R,SL,57,77.9,2496,15.5,0.6642108561506557,0.7507852769429781,336.3718426105782,328.87968337194457,Slider,75,405,420,7.492159238633633,7.492159238633665,-15,6,45,7,0,0,15,6:45,7:00,-0H 15M
