"","player","pitch_type","year","rank","perc","sim_player"
"197",501817,"FF","2018","first","97.2712045861945",543243
"198",642545,"FF","2018","first","95.7832153914378",548389
"199",642545,"FF","2019","first","94.6788362930942",608652
"200",642545,"FF","2021","first","96.7902069095697",571945
"201",642545,"FF","2022","first","96.279518235625",657093
"202",607457,"FF","2015","first","96.4608754593059",593423
"203",607457,"FF","2016","first","95.4235551689065",650633
"204",607457,"FF","2017","first","96.4013239542688",605525
"205",607457,"FF","2018","first","95.8825869544282",605525
"206",607457,"FF","2019","first","95.6993297569986",592346
"207",607457,"FF","2021","first","96.8448470736855",608723
"208",545332,"FF","2016","first","95.2107514651248",570632
"209",545332,"FF","2017","first","95.8441188526961",544727
"210",641341,"FF","2018","first","95.9698675741984",456713
"211",641341,"FF","2019","first","96.8048515577806",542585
"212",542914,"FF","2015","first","95.0099338625989",517008
"213",605135,"FF","2015","first","98.0794507309995",607216
"214",605135,"FF","2016","first","97.1075313165259",607216
"215",605135,"FF","2018","first","95.6880297728836",518876
"216",605135,"FF","2019","first","95.7251388342132",471911
"217",605135,"FF","2021","first","96.9385004001844",471911
"218",605135,"FF","2022","first","95.6255476129889",545343
"219",455374,"FF","2015","first","94.2250954274658",592741
"220",455374,"FF","2016","first","95.7304882464121",592741
"221",455374,"FF","2017","first","95.7253895387623",542881
"222",545333,"FF","2015","first","96.699243864139",607625
"223",545333,"FF","2016","first","97.2348068144013",607625
"224",545333,"FF","2017","first","97.2756792066983",656257
"225",545333,"FF","2018","first","97.1948687016173",621074
"226",545333,"FF","2019","first","97.209165823588",571479
"227",545333,"FF","2021","first","95.1058748998024",656629
"228",571473,"FF","2016","first","92.3138092098994",650382
"229",571473,"FF","2017","first","91.1806216088864",650382
"230",657508,"FF","2021","first","96.3181066584965",608337
"231",657508,"FF","2022","first","97.3188619432313",641793
"232",642585,"FF","2022","first","94.0654639244915",592773
"233",639373,"FF","2019","first","94.7175915956769",656302
"234",669358,"FF","2021","first","97.3773570363379",594798
"235",669358,"FF","2022","first","97.7056984844886",676886
"236",676886,"FF","2021","first","97.8016997905049",663752
"237",676886,"FF","2022","first","97.6705667892417",669358
"238",571476,"FF","2016","first","96.071836979328",642152
