"","player","pitch_type","year","rank","perc","sim_player"
"288",607352,"FF","2016","first","96.1328231698388",502043
"289",607352,"FF","2017","first","96.4068825666781",623167
"290",607352,"FF","2019","first","96.570108035927",457915
"291",502212,"FF","2017","first","96.8215918753707",650530
"292",502212,"FF","2018","first","97.257944378477",476451
"293",641360,"FF","2021","first","96.7398988335071",656427
"294",641360,"FF","2022","first","96.9028075441256",642547
"295",592145,"FF","2018","first","95.3128428594731",657006
"296",592145,"FF","2019","first","95.2807742167295",643466
"297",669456,"FF","2018","first","97.4461391440857",605135
"298",669456,"FF","2019","first","97.6875471937773",572193
"299",669456,"FF","2021","first","97.8258101680023",641816
"300",669456,"FF","2022","first","97.9702837355894",643290
"301",656232,"FF","2021","first","96.9456414500381",501822
"302",451532,"FF","2015","first","97.4748089885563",502004
"303",605143,"FF","2018","first","94.6800173356794",650633
"304",605143,"FF","2019","first","96.1855630442601",543339
"305",621112,"FF","2022","first","97.1739822013402",622694
"306",594760,"FF","2016","first","97.2050898119492",573046
"307",430599,"FF","2015","first","97.6619121382329",543294
"308",430599,"FF","2016","first","97.3134149459407",451532
"309",430599,"FF","2017","first","96.7605446975",543699
"310",518468,"FF","2015","first","97.8317535342999",456696
"311",518468,"FF","2016","first","97.1797796934612",593576
"312",460283,"FF","2017","first","96.4373594932837",452657
"313",460283,"FF","2018","first","97.0123890277058",452657
"314",460283,"FF","2019","first","96.1696160906011",452657
"315",671790,"FF","2019","first","98.0600810503047",621249
"316",502211,"FF","2015","first","94.1990461442657",572971
"317",502211,"FF","2016","first","97.1125786286175",644428
"318",502211,"FF","2017","first","96.4209272063815",543521
"319",570810,"FF","2017","first","97.6569016227409",573046
"320",517448,"FF","2016","first","97.2802527919472",594742
"321",641386,"FF","2021","first","97.9056991178617",666142
"322",621199,"FF","2016","first","96.2920485086901",570632
"323",621199,"FF","2019","first","95.5736302643186",430589
"324",502202,"FF","2015","first","96.8663921592021",547749
"325",502202,"FF","2016","first","96.9677016795704",542882
"326",502202,"FF","2017","first","97.0687884365808",628317
"327",502202,"FF","2018","first","96.0337896923657",542266
"328",502202,"FF","2019","first","95.6235177117864",623430
"329",502202,"FF","2021","first","97.0773214029984",656288
"330",502202,"FF","2022","first","96.3924724795948",547749
"331",571510,"FF","2015","first","96.7751191477886",592741
"332",571510,"FF","2016","first","97.3425260282128",457918
"333",571510,"FF","2017","first","97.7980318553261",461829
"334",571510,"FF","2018","first","97.4032922899682",502706
"335",571510,"FF","2019","first","96.4384571565719",501625
"336",571510,"FF","2021","first","97.6956525878957",501625
"337",430641,"FF","2015","first","96.9907766375717",502202
"338",430641,"FF","2016","first","96.6915501561393",592547
"339",430641,"FF","2017","first","97.9267078688156",606303
"340",430641,"FF","2018","first","97.3453969260124",543331
